time,point,kind,dir,price,amount,fee,basket,basket_held_after
2026-07-18 05:10:00,entry_boll,entry,short,1.927062,0.4,0.000154,boll,0.4
2026-07-18 06:00:00,exit_boll,exit,short,1.913435,0.4,0.000153,boll,0.0
2026-07-18 07:20:00,entry_boll,entry,short,1.920825,0.4,0.000154,boll,0.4
2026-07-18 08:15:00,entry_open,entry,short,1.927,0.4,0.000154,open,0.4
2026-07-18 08:15:00,entry_close,entry,short,1.927,0.2,7.7e-05,close,0.2
2026-07-18 08:25:00,exit_close,exit,short,1.93,0.2,7.7e-05,close,0.0
2026-07-18 08:30:00,exit_open,exit,short,1.927,0.4,0.000154,open,0.0
2026-07-18 09:05:00,exit_boll,exit,short,1.91959,0.4,0.000154,boll,0.0
2026-07-18 09:55:00,entry_boll,entry,short,1.930076,0.4,0.000154,boll,0.4
2026-07-18 10:20:00,entry_open,entry,short,1.929,0.4,0.000154,open,0.4
2026-07-18 10:20:00,entry_close,entry,short,1.929,0.2,7.7e-05,close,0.2
2026-07-18 10:30:00,exit_close,exit,short,1.931,0.2,7.7e-05,close,0.0
2026-07-18 10:35:00,entry_boll,entry,short,1.936,0.2,7.7e-05,boll,0.6
2026-07-18 11:25:00,exit_open,exit,short,1.936,0.4,0.000155,open,0.0
2026-07-18 12:20:00,exit_boll,exit,short,1.926501,0.6,0.000231,boll,0.0
2026-07-18 12:50:00,entry_close,entry,short,1.929,0.2,7.7e-05,close,0.2
2026-07-18 13:00:00,exit_close,exit,short,1.927,0.2,7.7e-05,close,0.0
2026-07-18 14:20:00,entry_close,entry,short,1.917,0.2,7.7e-05,close,0.2
2026-07-18 14:30:00,exit_close,exit,short,1.916,0.2,7.7e-05,close,0.0
2026-07-18 15:15:00,entry_close,entry,short,1.907,0.2,7.6e-05,close,0.2
2026-07-18 15:25:00,entry_open,entry,short,1.912,0.4,0.000153,open,0.4
2026-07-18 15:30:00,exit_close,exit,short,1.907,0.2,7.6e-05,close,0.0
2026-07-18 15:30:00,exit_open,exit,short,1.907,0.4,0.000153,open,0.0
2026-07-18 16:15:00,entry_boll,entry,short,1.916797,0.4,0.000153,boll,0.4
2026-07-18 17:20:00,exit_boll,exit,short,1.900196,0.4,0.000152,boll,0.0
2026-07-18 19:00:00,entry_open,entry,short,1.896,0.4,0.000152,open,0.4
2026-07-18 19:00:00,entry_close,entry,short,1.895,0.2,7.6e-05,close,0.2
2026-07-18 19:15:00,exit_close,exit,short,1.898,0.2,7.6e-05,close,0.0
2026-07-18 19:50:00,entry_boll,entry,short,1.903036,0.4,0.000152,boll,0.4
2026-07-18 20:35:00,entry_open,entry,short,1.914,0.2,7.7e-05,open,0.6
2026-07-18 20:45:00,exit_open,exit,short,1.913,0.6,0.00023,open,0.0
2026-07-18 20:50:00,entry_open,entry,short,1.915,0.4,0.000153,open,0.4
2026-07-18 20:50:00,entry_close,entry,short,1.914,0.2,7.7e-05,close,0.2
2026-07-18 22:15:00,exit_close,exit,short,1.908,0.2,7.6e-05,close,0.0
2026-07-18 22:15:00,exit_open,exit,short,1.907,0.4,0.000153,open,0.0
2026-07-18 22:25:00,entry_boll,entry,short,1.915007,0.4,0.000153,boll,0.8
2026-07-19 00:55:00,entry_boll,entry,short,1.919773,0.2,7.7e-05,boll,1.0
2026-07-19 04:35:00,exit_boll,exit,short,1.930446,1.0,0.000386,boll,0.0
2026-07-19 05:00:00,entry_boll,entry,short,1.935641,0.4,0.000155,boll,0.4
2026-07-19 05:40:00,entry_open,entry,short,1.932,0.4,0.000155,open,0.4
2026-07-19 05:40:00,entry_close,entry,short,1.931,0.2,7.7e-05,close,0.2
2026-07-19 05:45:00,exit_boll,exit,short,1.927673,0.4,0.000154,boll,0.0
2026-07-19 06:20:00,exit_close,exit,short,1.929,0.2,7.7e-05,close,0.0
2026-07-19 06:25:00,exit_open,exit,short,1.928,0.4,0.000154,open,0.0
2026-07-19 06:40:00,entry_open,entry,short,1.93,0.4,0.000154,open,0.4
2026-07-19 06:40:00,entry_close,entry,short,1.93,0.2,7.7e-05,close,0.2
2026-07-19 06:45:00,exit_close,exit,short,1.929,0.2,7.7e-05,close,0.0
2026-07-19 07:15:00,entry_boll,entry,short,1.931531,0.4,0.000155,boll,0.4
2026-07-19 08:00:00,entry_open,entry,short,1.932,0.2,7.7e-05,open,0.6
2026-07-19 08:15:00,exit_open,exit,short,1.931,0.6,0.000232,open,0.0
2026-07-19 08:25:00,entry_open,entry,short,1.933,0.4,0.000155,open,0.4
2026-07-19 08:25:00,entry_close,entry,short,1.932,0.2,7.7e-05,close,0.2
2026-07-19 08:35:00,exit_boll,exit,short,1.926108,0.4,0.000154,boll,0.0
2026-07-19 09:55:00,exit_close,exit,short,1.917,0.2,7.7e-05,close,0.0
2026-07-19 11:25:00,exit_open,exit,short,1.915,0.4,0.000153,open,0.0
2026-07-19 12:10:00,entry_open,entry,short,1.918,0.4,0.000153,open,0.4
2026-07-19 12:10:00,entry_close,entry,short,1.916,0.2,7.7e-05,close,0.2
2026-07-19 13:00:00,entry_boll,entry,short,1.921592,0.4,0.000154,boll,0.4
2026-07-19 17:00:00,exit_close,exit,short,1.936,0.2,7.7e-05,close,0.0
2026-07-19 17:00:00,exit_open,exit,short,1.936,0.4,0.000155,open,0.0
2026-07-19 17:10:00,exit_boll,exit,short,1.930325,0.4,0.000154,boll,0.0
2026-07-19 18:35:00,entry_open,entry,short,1.926,0.4,0.000154,open,0.4
2026-07-19 18:35:00,entry_close,entry,short,1.925,0.2,7.7e-05,close,0.2
2026-07-19 18:40:00,exit_close,exit,short,1.924,0.2,7.7e-05,close,0.0
2026-07-19 18:40:00,exit_open,exit,short,1.924,0.4,0.000154,open,0.0
2026-07-19 18:45:00,entry_boll,entry,short,1.933055,0.4,0.000155,boll,0.4
2026-07-19 19:20:00,entry_open,entry,short,1.926,0.2,7.7e-05,open,0.2
2026-07-19 19:35:00,exit_open,exit,short,1.922,0.2,7.7e-05,open,0.0
2026-07-19 19:40:00,exit_boll,exit,short,1.921084,0.4,0.000154,boll,0.0
2026-07-19 21:20:00,entry_close,entry,short,1.919,0.2,7.7e-05,close,0.2
2026-07-19 21:30:00,entry_open,entry,short,1.921,0.4,0.000154,open,0.4
2026-07-19 21:50:00,exit_close,exit,short,1.921,0.2,7.7e-05,close,0.0
2026-07-19 21:55:00,exit_open,exit,short,1.92,0.4,0.000154,open,0.0
