time,basket,dir,exit_point,entry_avg,exit_px,amount,gross,entry_fee,exit_fee,net,holding_bars,holding_hours,reason
2026-07-18 06:00:00,boll,short,exit_boll,1.927062,1.913435,0.4,0.005451,0.000154,0.000153,0.005144,10,0.83,exit_boll限价平仓
2026-07-18 08:25:00,close,short,exit_close,1.927,1.93,0.2,-0.0006,7.7e-05,7.7e-05,-0.000754,2,0.17,exit_close限价平仓
2026-07-18 08:30:00,open,short,exit_open,1.927,1.927,0.4,-0.0,0.000154,0.000154,-0.000308,3,0.25,exit_open限价平仓
2026-07-18 09:05:00,boll,short,exit_boll,1.920825,1.91959,0.4,0.000494,0.000154,0.000154,0.000187,21,1.75,exit_boll限价平仓
2026-07-18 10:30:00,close,short,exit_close,1.929,1.931,0.2,-0.0004,7.7e-05,7.7e-05,-0.000554,2,0.17,exit_close限价平仓
2026-07-18 11:25:00,open,short,exit_open,1.929,1.936,0.4,-0.0028,0.000154,0.000155,-0.003109,13,1.08,exit_open限价平仓
2026-07-18 12:20:00,boll,short,exit_boll,1.932051,1.926501,0.6,0.00333,0.000232,0.000231,0.002867,29,2.42,exit_boll限价平仓
2026-07-18 13:00:00,close,short,exit_close,1.929,1.927,0.2,0.0004,7.7e-05,7.7e-05,0.000246,2,0.17,exit_close限价平仓
2026-07-18 14:30:00,close,short,exit_close,1.917,1.916,0.2,0.0002,7.7e-05,7.7e-05,4.7e-05,2,0.17,exit_close限价平仓
2026-07-18 15:30:00,close,short,exit_close,1.907,1.907,0.2,-0.0,7.6e-05,7.6e-05,-0.000153,3,0.25,exit_close限价平仓
2026-07-18 15:30:00,open,short,exit_open,1.912,1.907,0.4,0.002,0.000153,0.000153,0.001694,1,0.08,exit_open限价平仓
2026-07-18 17:20:00,boll,short,exit_boll,1.916797,1.900196,0.4,0.00664,0.000153,0.000152,0.006335,13,1.08,exit_boll限价平仓
2026-07-18 19:15:00,close,short,exit_close,1.895,1.898,0.2,-0.0006,7.6e-05,7.6e-05,-0.000752,3,0.25,exit_close限价平仓
2026-07-18 20:45:00,open,short,exit_open,1.902,1.913,0.6,-0.0066,0.000228,0.00023,-0.007058,21,1.75,exit_open限价平仓
2026-07-18 22:15:00,close,short,exit_close,1.914,1.908,0.2,0.0012,7.7e-05,7.6e-05,0.001047,17,1.42,exit_close限价平仓
2026-07-18 22:15:00,open,short,exit_open,1.915,1.907,0.4,0.0032,0.000153,0.000153,0.002894,17,1.42,exit_open限价平仓
2026-07-19 04:35:00,boll,short,exit_boll,1.911172,1.930446,1.0,-0.019274,0.000382,0.000386,-0.020043,105,8.75,exit_boll限价平仓
2026-07-19 05:45:00,boll,short,exit_boll,1.935641,1.927673,0.4,0.003187,0.000155,0.000154,0.002878,9,0.75,exit_boll限价平仓
2026-07-19 06:20:00,close,short,exit_close,1.931,1.929,0.2,0.0004,7.7e-05,7.7e-05,0.000246,8,0.67,exit_close限价平仓
2026-07-19 06:25:00,open,short,exit_open,1.932,1.928,0.4,0.0016,0.000155,0.000154,0.001291,9,0.75,exit_open限价平仓
2026-07-19 06:45:00,close,short,exit_close,1.93,1.929,0.2,0.0002,7.7e-05,7.7e-05,4.6e-05,1,0.08,exit_close限价平仓
2026-07-19 08:15:00,open,short,exit_open,1.930667,1.931,0.6,-0.0002,0.000232,0.000232,-0.000663,19,1.58,exit_open限价平仓
2026-07-19 08:35:00,boll,short,exit_boll,1.931531,1.926108,0.4,0.002169,0.000155,0.000154,0.001861,16,1.33,exit_boll限价平仓
2026-07-19 09:55:00,close,short,exit_close,1.932,1.917,0.2,0.003,7.7e-05,7.7e-05,0.002846,18,1.5,exit_close限价平仓
2026-07-19 11:25:00,open,short,exit_open,1.933,1.915,0.4,0.0072,0.000155,0.000153,0.006892,36,3.0,exit_open限价平仓
2026-07-19 17:00:00,close,short,exit_close,1.916,1.936,0.2,-0.004,7.7e-05,7.7e-05,-0.004154,58,4.83,exit_close限价平仓
2026-07-19 17:00:00,open,short,exit_open,1.918,1.936,0.4,-0.0072,0.000153,0.000155,-0.007508,58,4.83,exit_open限价平仓
2026-07-19 17:10:00,boll,short,exit_boll,1.921592,1.930325,0.4,-0.003493,0.000154,0.000154,-0.003801,50,4.17,exit_boll限价平仓
