rank,symbol,inst_id,name_cn,1H_趋势,1H_交易价格,1H_交易时间,1H_盈亏%,1H_收盘价,MACD_1H,DIF_1H,ADX_1H,ATR_1H,SAR_1H,SAR颜色_1H,ER_1H,4H_趋势,4H_交易价格,4H_交易时间,4H_盈亏%,4H_收盘价,MACD_4H,DIF_4H,ADX_4H,ATR_4H,SAR_4H,SAR颜色_4H,ER_4H,1D_趋势,1D_交易价格,1D_交易时间,1D_盈亏%,1D_收盘价,MACD_1D,DIF_1D,ADX_1D,ATR_1D,SAR_1D,SAR颜色_1D,ER_1D,15m_趋势,15m_交易价格,15m_交易时间,15m_盈亏%,15m_收盘价,MACD_15m,DIF_15m,ADX_15m,ATR_15m,SAR_15m,SAR颜色_15m,ER_15m
1,BTC,BTC-USDT-SWAP,比特币,下跌,81209.6,2026-9-19 05:00:00,0.64,81157.9,-94.4059,995.6808,59.31,5.8681,81099.8,green,0.0397,上涨,76167.7,2026-9-17 04:00:00,65.52,81157.9,1173.4567,944.5462,32.15,11.8637,79493.3,green,0.8902,上涨,81157.9,2026-9-19 00:00:00,0.0,81157.9,-414.2758,1334.9721,40.35,28.9479,76217.1,green,0.3853,下跌,81117.4,2026-9-19 11:15:00,-0.5,81157.9,-74.7935,67.3933,30.77,2.1462,81099.8,green,0.7121
2,ETH,ETH-USDT-SWAP,以太坊,下跌,2610.97,2026-9-19 07:00:00,-3.58,2620.31,-3.4467,37.2476,57.81,7.8466,2611.01,green,0.1721,上涨,2408.28,2026-9-17 00:00:00,88.04,2620.31,46.5828,35.28,26.94,16.1796,2556.1232,green,0.7782,上涨,2620.29,2026-9-19 00:00:00,0.0,2620.29,-14.4776,68.2183,39.74,38.7649,2435.9,green,0.2122,上涨,2611.89,2026-9-19 09:45:00,3.22,2620.31,-0.2645,2.3175,20.64,3.0113,2618.23,green,0.2552
3,XRP,XRP-USDT-SWAP,瑞波币,下跌,1.3978,2026-9-19 06:00:00,-14.88,1.4186,0.0024,0.0245,48.51,11.5607,1.409,green,0.5411,上涨,1.3023,2026-9-17 08:00:00,89.61,1.419,0.031,0.0114,20.96,23.4672,1.3923,green,0.7498,上涨,1.419,2026-9-19 00:00:00,0.0,1.419,-0.0207,0.0198,25.16,55.9549,1.2868,green,0.1245,上涨,1.4183,2026-9-19 11:45:00,0.0,1.4183,-0.0003,0.0053,29.13,5.7816,1.409,green,0.0651
4,BNB,BNB-USDT-SWAP,币安币,下跌,751.2,2026-9-18 17:00:00,-11.45,759.8,-2.1781,5.2775,44.46,6.2049,758.6,green,0.3535,上涨,718.9,2026-9-17 00:00:00,56.89,759.8,7.4199,10.5138,33.37,12.5149,757.532,green,0.5143,下跌,690.4,2026-8-29 00:00:00,-100.52,759.8,-2.6241,18.4202,40.24,32.0263,725.7,green,0.3198,下跌,759.9,2026-9-19 11:15:00,0.13,759.8,-0.7751,-0.4546,15.59,2.5282,758.6,green,0.7447
5,USDC,USDC-USDT-SWAP,美元稳定币,上涨,1.0003,2026-9-19 09:00:00,0.05,1.0004,-0.0,-0.0,35.83,0.1,1.0003,green,0.2689,下跌,1.0005,2026-9-16 20:00:00,0.09,1.0004,-0.0,0.0,15.35,0.1999,1.0002,green,0.2837,下跌,1.0004,2026-9-19 00:00:00,0.0,1.0004,0.0001,0.0001,24.98,0.4998,1.0002,green,0.1557,上涨,1.0004,2026-9-19 11:45:00,0.0,1.0004,0.0,0.0,34.27,0.1,1.0003,green,0.2124
6,SOL,SOL-USDT-SWAP,索拉纳,下跌,112.69,2026-9-19 07:00:00,-5.59,113.32,-0.2583,2.5653,62.56,10.015,113.0384,green,0.0661,上涨,98.04,2026-9-17 00:00:00,155.96,113.33,3.1081,3.1727,35.75,18.9147,108.5712,green,0.7893,上涨,113.33,2026-9-19 00:00:00,0.0,113.33,0.2537,3.615,42.08,44.5637,100.63,green,0.4585,上涨,113.63,2026-9-19 08:45:00,-2.64,113.33,-0.1355,0.2071,17.84,4.0148,113.12,green,0.218
7,TRX,TRX-USDT-SWAP,波场,下跌,0.3383,2026-9-19 01:00:00,-1.33,0.3387,-0.0002,0.0007,35.84,1.7715,0.3381,green,0.2168,上涨,0.3353,2026-9-16 16:00:00,10.35,0.3388,0.0011,0.0004,17.09,4.7226,0.3377,green,0.6175,下跌,0.3356,2026-9-16 00:00:00,-9.39,0.3387,0.0001,0.001,13.73,14.4671,0.3332,green,0.068,上涨,0.3382,2026-9-19 09:45:00,1.45,0.3387,0.0001,0.0001,13.64,0.8857,0.3387,red,0.3431
8,DOGE,DOGE-USDT-SWAP,狗狗币,下跌,0.0873,2026-9-19 02:00:00,-8.59,0.0881,-0.0003,0.0012,53.99,10.2157,0.0878,green,0.0929,上涨,0.0804,2026-9-17 00:00:00,96.29,0.0881,0.0018,0.0013,30.73,18.1612,0.0871,green,0.8476,上涨,0.0881,2026-9-19 00:00:00,0.0,0.0881,-0.0007,0.0009,24.24,49.9432,0.0811,green,0.1875,下跌,0.088,2026-9-19 11:30:00,-0.68,0.0881,-0.0,0.0001,15.08,4.5403,0.0878,green,0.2941
9,ADA,ADA-USDT-SWAP,艾达币,下跌,0.2314,2026-9-19 11:00:00,0.0,0.2314,0.0012,0.0058,66.95,14.6932,0.2264,green,0.4225,上涨,0.1961,2026-9-17 04:00:00,181.03,0.2316,0.007,0.0057,30.96,25.475,0.2215,green,0.8584,上涨,0.2199,2026-9-18 00:00:00,52.3,0.2314,0.0008,0.0034,28.58,60.5013,0.1997,green,0.3581,下跌,0.2314,2026-9-19 11:45:00,0.0,0.2314,0.0003,0.0023,41.03,8.2109,0.2311,green,0.1579
10,AVAX,AVAX-USDT-SWAP,雪崩协议,上涨,8.688,2026-9-19 09:00:00,-26.13,8.461,0.0509,0.1877,62.23,15.4592,8.3768,green,0.2883,上涨,7.473,2026-9-17 04:00:00,132.21,8.461,0.185,0.2171,31.88,22.4205,8.0772,green,0.8231,上涨,8.107,2026-9-18 00:00:00,43.67,8.461,0.0776,0.1988,27.08,47.7839,7.54,green,0.6315,下跌,8.495,2026-9-19 11:15:00,4.0,8.461,-0.0088,0.0804,38.78,8.6987,8.427,green,0.5901
11,LTC,LTC-USDT-SWAP,莱特币,上涨,56.84,2026-9-19 02:00:00,32.37,58.68,0.2544,1.1299,58.99,9.9608,57.8324,green,0.9359,上涨,50.85,2026-9-17 00:00:00,153.98,58.68,1.3315,1.2726,33.95,16.8252,56.4844,green,1.0,上涨,58.68,2026-9-19 00:00:00,0.0,58.68,0.3783,1.6217,31.76,41.0532,53.1816,green,0.3645,下跌,57.95,2026-9-19 09:00:00,-12.6,58.68,-0.0858,0.3706,29.58,5.6595,58.56,green,0.1429
12,SHIB,SHIB-USDT-SWAP,柴犬币,下跌,,2026-9-18 15:00:00,-22.6,,-0.0,0.0,48.28,,0.0,,0.1963,上涨,,2026-9-17 04:00:00,98.09,,0.0,0.0,29.21,,0.0,,0.7162,上涨,,2026-9-18 00:00:00,0.91,,-0.0,0.0,21.91,,0.0,,0.129,上涨,,2026-9-19 09:45:00,2.01,,0.0,0.0,13.47,,0.0,,0.2381
