食物,热量
老乡鸡200克米饭,338
桃酥30克,168
粥料100克,350
西红柿炒蛋,163
梅菜扣肉,455
一袋水饺22个,867
毛豆烧鸡,463
梅菜扣肉,455
香辣鸡杂,350
鸡汁辣鱼,272
葱油菜苔,141
老母鸡汤,175
葱油鸡,366
板栗烧鸡,400
白菜豆腐,100
酸菜鱼,270
小炒肉,354
梅干菜凤爪翅,416
蒜蓉粉丝虾,92
菠萝咕咾肉,456
番茄菌菇肉丸,188
竹笋蒸鸡翅,213
特仑苏250ml,184
小炒脆笋,252
乌鸡100克,150
玉米100克,100
可可粉5克,17
脱脂奶粉25克,93
花生10颗,60
米露一杯,50
挂面100克,354
老干妈10克沥油后,52
拌饭酱10克,48
牛肉串5串,119
羊肉串5串,297
生米100克,336
香菇100克,28
茄子100克,25
土豆100克,77
莲藕100克,70
手擀面100克,240
腰果20克,116
草莓100克,96
香蕉100克,93
橘子100克,44
卤肉肠,210
牛肉馅饼,298
带壳瓜子10克,30
蒜蓉粉丝虾,92
莴笋丝炒蛋,259
鸡排100克,200
油壶喷10下,18
青菜,14
西兰花,27
香椿,50
豆腐,87
大蒜100克,138
枣糕100克,350
竹笋蒸鸡翅,255
绿豆饼,200
魔芋面,249
魔芋凉皮,176
魔芋爆肚,211
香辣鸡杂面,683
香辣牛肉面,450
老鸡扬米面,468
香菇鸡汤面,420
饭团100克,134
鱼香肉丝,292
卤鸭肫,50
卤牛肉,150
牛肉板面,710
燕麦麸皮28克,100
洋车前子克6克,10
魔芋面一份,12
绿豆饼30克,95
鸡胸肉炒西蓝花,180
西瓜100克,28
泡芙100克,200
海苔小贝100克,300
肥叔锅贴15个,402
